wing_length,age,fat,lean,sex,morph
NA,NA,2.37,18.49,NA,0
NA,NA,3.58,20.12,NA,0
NA,NA,1.5,19.45,NA,1
NA,NA,2.08,20.9,NA,0
NA,NA,1.05,16.88,NA,1
NA,NA,0.99,17.91,NA,1
NA,NA,1.99,20.82,NA,1
NA,NA,0.5,17.46,NA,0
NA,NA,0.51,16.24,NA,1
NA,NA,1.41,17.78,NA,0
74,1,3.37,19.17,1,0
NA,NA,0.9,17.45,NA,0
NA,NA,1.73,19.7,NA,1
NA,NA,4.59,20.88,NA,1
NA,NA,1.41,17.85,NA,1
NA,NA,2.75,18.54,NA,1
NA,NA,1.03,16.89,NA,1
NA,NA,3.62,19.6,NA,0
NA,NA,3.68,19.74,NA,1
NA,NA,4.01,19.4,NA,1
NA,NA,NA,NA,NA,1
NA,NA,4.39,19.08,NA,0
NA,NA,0.22,17.96,NA,0
NA,NA,1.73,17.99,NA,0
NA,NA,0.5,17.67,NA,0
NA,NA,3.17,18.86,NA,1
NA,NA,2.94,19.05,NA,1
NA,NA,1.99,18.43,NA,0
NA,NA,0.81,17.11,NA,1
NA,NA,3.52,17.05,NA,1
NA,NA,4.27,21.51,NA,1
NA,NA,4.09,18.97,NA,1
NA,NA,1.95,20.13,NA,1
NA,NA,-0.4,17.94,NA,1
NA,NA,1.42,17.44,NA,1
68,1,3.82,18.35,0,1
NA,NA,0.62,18.14,NA,1
71,0,1.29,17.92,0,0
67,1,3.76,18.15,0,0
NA,NA,1.52,20.31,NA,1
67,1,2.75,17.92,0,0
67,1,3.59,17.71,0,0
NA,NA,0.91,18.26,NA,1
NA,NA,2.12,18.7,NA,1
NA,NA,3.09,22.28,NA,0
NA,NA,2.8,19.78,NA,0
NA,NA,4.05,21,NA,1
NA,NA,1.12,20.2,NA,0
NA,NA,3.65,20.18,NA,0
NA,NA,5.14,21.95,NA,1
NA,NA,2.13,20.06,NA,1
NA,NA,1.57,18.67,NA,1
NA,NA,2.81,19.64,NA,1
NA,NA,2.82,19.04,NA,1
69,0,0.95,18.66,0,1
66,1,1.42,19.64,0,1
NA,NA,3.89,21.26,NA,0
67,1,2.93,17.16,0,0
NA,NA,2.33,19.4,NA,1
NA,NA,4.46,21.27,NA,0
NA,NA,1.74,20.56,1,1
NA,NA,4.53,18.87,NA,0
NA,NA,1.58,17.28,NA,1
NA,NA,3.26,20.98,NA,0
NA,NA,1.81,17.04,NA,1
NA,NA,2.58,17.8,NA,0
NA,NA,1.14,18.45,NA,0
NA,NA,2.29,21.72,NA,0
NA,NA,4.2,18.01,NA,0
NA,NA,8.32,21.59,NA,1
NA,NA,3.96,18.41,NA,0
NA,NA,1.64,18.67,NA,0
NA,NA,2.75,21.03,NA,1
NA,NA,7.03,19.24,NA,0
NA,NA,5.06,18.81,NA,0
67,0,3.68,19.32,0,0
NA,NA,1.5,18.96,NA,0
NA,NA,3.48,20.61,NA,0
67,1,1.97,18.44,0,1
NA,NA,6.36,22.89,NA,0
NA,NA,3.09,19.4,NA,0
NA,NA,5.48,20.71,NA,1
NA,NA,1.16,17.92,NA,1
NA,NA,2.85,20.4,NA,1
NA,NA,1.6,18.46,NA,1
NA,NA,3.08,18.82,NA,0
NA,NA,4.16,20.58,NA,1
68,1,2.7,18.26,NA,0
NA,NA,3.52,17.94,NA,1
67,1,3.13,18.6,0,1
NA,NA,2.1,21.48,NA,1
NA,NA,1.34,17.74,NA,1
65,0,0.96,16.44,0,1
68,1,3.37,18.46,0,1
NA,NA,1.77,20.1,NA,1
NA,NA,1.5,20.09,NA,0
NA,NA,2.36,19.05,NA,1
68,1,2.38,17.33,0,1
67,1,3.8,17.95,0,1
66,1,2.02,18.66,0,1
NA,NA,3.35,19.14,NA,0
NA,NA,4.87,21.58,NA,1
66,1,3.52,17.94,0,1
NA,NA,1.62,17.73,NA,1
66,1,4.79,17.63,0,0
NA,NA,3.54,20.13,NA,0
74,1,3.27,19.47,1,1
75,1,4.59,21.92,1,1
NA,NA,3.65,18.34,NA,1
NA,NA,3.23,20.2,NA,NA
66,1,3.92,16.67,0,1
68,0,7.33,20.47,0,0
NA,NA,4.53,17.93,NA,1
NA,NA,3.28,20.1,NA,0
NA,NA,4.92,20.24,NA,0
NA,NA,3.89,17.32,NA,1
76,1,4.59,21.81,1,1
74,1,5.1,19.1,1,1
NA,NA,3.9,17.85,NA,0
NA,NA,6.64,19.46,NA,0
NA,NA,6.29,17.94,NA,0
NA,NA,5.46,17.75,NA,1
66,1,4.43,18.34,0,1
NA,NA,5.25,18.85,NA,1
70,0,3.09,19.33,0,0
NA,NA,3.19,20.88,NA,0
NA,NA,4.3,18.33,NA,0
NA,NA,3.2,16.38,NA,1
NA,NA,1.85,17.26,NA,1
NA,NA,5.12,18.27,0,1
NA,NA,2.33,16.75,0,0
NA,NA,3.8,18.33,NA,0
NA,NA,4.67,19.25,NA,1
67,1,3.37,18.65,NA,0
NA,NA,1.96,17.66,NA,1
NA,NA,5.41,20.55,NA,1
NA,NA,4.56,17.12,NA,0
NA,NA,8.34,22.03,NA,0
NA,NA,4.47,17.62,NA,1
NA,NA,3.62,18.71,NA,1
NA,NA,5.95,18.32,NA,1
NA,NA,3.66,18.25,NA,1
NA,NA,4.84,18.89,NA,NA
67,1,3.91,17.33,0,0
NA,NA,4.64,18.68,NA,0
NA,NA,5.1,19.72,NA,0
NA,NA,3.48,18.98,NA,0
NA,NA,5.26,19.25,NA,1
NA,NA,3,16.75,NA,0
70,0,4.83,16.04,0,1
NA,NA,5.32,18.81,NA,0
63,0,4.19,14.9,0,0
NA,NA,6.21,20.29,NA,0
67,1,7.03,18.7,0,1
NA,NA,5.44,18.49,NA,0
NA,NA,4.87,18.57,NA,1
NA,NA,3.97,16.87,NA,1
68,1,4.35,17.68,0,0
68,1,4.96,17.43,NA,1
67,1,3.19,18.27,0,1
NA,NA,4.81,16.89,NA,0
NA,NA,3.88,18.53,NA,0
NA,NA,3.91,19.31,NA,1
NA,NA,2.62,15.26,NA,0
NA,NA,0.62,18.68,NA,0
NA,NA,1.4,20.66,NA,0
